id;label;shape;bgcolor;fontcolor;rank;subgraph;mainGraph;is_terminal;href;tooltip;descr;openSource;keyQuestions;keyLink
Cheatsheets;Cheatsheets;ellipse;#D41159;white;5;JupyterNotebook;Dataanalysis;yes;https://www.edureka.co/blog/wp-content/uploads/2018/10/Jupyter_Notebook_CheatSheet_Edureka.pdf;https://www.edureka.co/blog/wp-content/uploads/2018/10/Jupyter_Notebook_CheatSheet_Edureka.pdf;A cheatsheet in Python is a concise reference guide that provides a quick overview of essential syntax, functions, methods, and concepts, aiding developers in writing code more efficiently.;FALSE;;
Google Colab;Google Colab;ellipse;#D41159;white;4;Python;Dataanalysis;yes;https://colab.research.google.com/;https://colab.research.google.com/;Google Colab (short for Colaboratory) is a free cloud-based platform that provides an interactive environment for writing and executing Python code, particularly well-suited for machine learning, data analysis, and research, with the added advantage of GPU acceleration.;FALSE;;
Matlab;Matlab;ellipse;#D41159;white;3;AnalysisFramework;Dataanalysis;yes;https://de.mathworks.com/products/matlab.html;https://de.mathworks.com/products/matlab.html;MATLAB is a programming and numeric computing platform.;FALSE;;
Meta-analysis;Meta-analysis;diamond;#40B0A6;white;2;Dataanalysis;Dataanalysis;no;NA;;NA;;;
Meta-analysis;Meta-analysis;diamond;#40B0A6;white;2;Meta-analysis;Dataanalysis;no;NA;;NA;;;
Syllabus;Syllabus;ellipse;#D41159;white;3;Meta-analysis;Dataanalysis;yes;http://mgto.org/metaanalysissyllabus ;http://mgto.org/metaanalysissyllabus ;Resources for learning (and teaching) on how to conduct Meta-Analyses and Systematic Reviews;FALSE;;
Metafor (R);Metafor (R);ellipse;#D41159;white;3;Meta-analysis;Dataanalysis;yes;https://metafor-project.org/doku.php;https://metafor-project.org/doku.php;Use the metafor package in R for your meta-analyses.;FALSE;;
Coda;Coda;ellipse;#D41159;white;3;Meta-analysis;Dataanalysis;yes;https://cooperationdatabank.org/;https://cooperationdatabank.org/;Use Coda, a machine-readable history of cooperation research, to search, select and visualize studies for on-demand meta-analysis.;FALSE;;
Metalab;Metalab;ellipse;#D41159;white;3;Meta-analysis;Dataanalysis;yes;https://langcog.github.io/metalab/;https://langcog.github.io/metalab/;This website features interactive, community-augmented meta-analysis tools for cognitive development research.;FALSE;;
Templates;Templates;ellipse;#D41159;white;3;Meta-analysis;Dataanalysis;yes;https://psycnet.apa.org/record/2020-66880-001;https://psycnet.apa.org/record/2020-66880-001;"A primer and tutorial paper on ""Conducting a meta-analysis in the age of open science: Tools, tips, and practical recommendations"", including nine templates free for use, from preregistration to code to data.";FALSE;;
Neuroquery;Neuroquery;ellipse;#D41159;white;3;Meta-analysis;Dataanalysis;yes;https://neuroquery.org/;https://neuroquery.org/;NeuroQuery is a tool for meta-analysis of neuroimaging studies, relating text queries to activations as well as associations between terms used together in neuroimaging publications. More info in the corresponding paper.;FALSE;;
Writing;Writing;rectangle;#005AB5;white;1;initial;initial;no;NA;;NA;;What is the scope of the paper? || What is the target audience and journal? || How to write a convincing abstract? || How to properly credit authors? || How to find and cite sources correctly? || How to structure a manuscript? || Which frameworks allow to conveniently write a reproducible manuscript?;https://igor-biodgps.github.io/ARIADNE/contentpages/step8.html#step-8-writing-the-manuscript
Writing;Writing;rectangle;#005AB5;white;1;Writing;Writing;no;NA;;NA;;;
Crediting;Crediting;diamond;#40B0A6;white;2;Writing;Writing;no;NA;;NA;;;
Crediting;Crediting;diamond;#40B0A6;white;2;Crediting;Writing;no;NA;;NA;;;
Tenzing;Tenzing;ellipse;#D41159;white;3;Crediting;Writing;yes;https://marton-balazs-kovacs.github.io/tenzing/articles/app_use.html;https://marton-balazs-kovacs.github.io/tenzing/articles/app_use.html;Use the Tenzing ShinyApp for quickly and easily documenting contributorship.;FALSE;;
CRediT;CRediT;ellipse;#D41159;white;3;Crediting;Writing;yes;https://www.elsevier.com/researcher/author/policies-and-guidelines/credit-author-statement;https://www.elsevier.com/researcher/author/policies-and-guidelines/credit-author-statement;Use the CRedit Author Statement by Brandt et al. (2015, Learned Publishing) to report each author’s proper contribution to a manuscript.;FALSE;;
Scite;Scite;ellipse;#D41159;white;3;Crediting;Writing;yes;https://scite.ai/;https://scite.ai/;A platform for evaluating scientific articles via smart citations, which allows users to assess how a publication has ben cited.;FALSE;;
Grateful;Grateful;ellipse;#D41159;white;3;Crediting;Writing;yes;https://github.com/Pakillo/grateful;https://github.com/Pakillo/grateful;Use the grateful package in R to automatically create a reference list for all your used R packages.;FALSE;;
Writing effectively;Writing effectively;ellipse;#D41159;white;2;Writing;Writing;yes;https://youtu.be/vtIzMaLkCaM;https://youtu.be/vtIzMaLkCaM;If you want to know how to write effectively, watch this video.;FALSE;;
Acronymify;Acronymify;ellipse;#D41159;white;2;Writing;Writing;yes;https://acronymify.com/;https://acronymify.com/;If you need a cool and catchy acronym for your paper, project, etc. check out Acronymify.;FALSE;;
List of acronyms;List of acronyms;ellipse;#D41159;white;2;Writing;Writing;yes;https://listofacronyms.com/;https://listofacronyms.com/;Don't waste time collating a list or table of abbreviations manually. This tool does it for you.;FALSE;;
Quillbot;Quillbot;ellipse;#D41159;white;2;Writing;Writing;yes;https://quillbot.com/;https://quillbot.com/;Paraphrase like the awesome boss you are using QuillBot.;FALSE;;
Statcheck;Statcheck;ellipse;#D41159;white;2;Writing;Writing;yes;https://michelenuijten.shinyapps.io/statcheck-web/;https://michelenuijten.shinyapps.io/statcheck-web/;To check a PDF, DOCX or HTML file for errors in statistical reporting, upload it to Statcheck. Some journals even officially request this now (e.g., Psychological Science).;FALSE;;
Grammarly;Grammarly;ellipse;#D41159;white;2;Writing;Writing;yes;https://www.grammarly.com/;https://www.grammarly.com/;Work with an AI writing partner that helps you find the words you need to write that tricky email, to get your point across, to keep your work moving.;FALSE;;
PaperPal;PaperPal;ellipse;#D41159;white;2;Writing;Writing;yes;https://paperpal.com/;https://paperpal.com/;Boost your chances of success with real-time, subject-specific language suggestions that help you write better, faster!;FALSE;;
Writing Framework;Writing Framework;diamond;#40B0A6;white;2;Writing;Writing;no;NA;;NA;;;
Writing Framework;Writing Framework;diamond;#40B0A6;white;2;WritingFramework;Writing;no;NA;;NA;;;
Word;Word;diamond;#40B0A6;white;3;WritingFramework;Writing;no;NA;;NA;;;
Word;Word;diamond;#40B0A6;white;3;Word;Writing;no;NA;;NA;;;
Preprint templates;Preprint templates;ellipse;#D41159;white;4;Word;Writing;yes;https://osf.io/hsv6a/;https://osf.io/hsv6a/;Amazing and useful Word templates for typesetting preprints. Because your preprint should be a #prettypreprint and we don't have time for endless formatting.;FALSE;;
APA-style Word template;APA-style Word template;ellipse;#D41159;white;4;Word;Writing;yes;https://libguides.uww.edu/apa/format;https://libguides.uww.edu/apa/format;A Word template in APA7 style for student papers. Word and Google Docs versions exist;FALSE;;
Papaja;Papaja;ellipse;#D41159;white;3;WritingFramework;Writing;yes;https://github.com/crsh/papaja;https://github.com/crsh/papaja;If you want to create reproducible manuscripts including tables directly from your data in R, use the papaja package.;FALSE;;
Overleaf;Overleaf;ellipse;#D41159;white;3;WritingFramework;Writing;yes;https://www.overleaf.com/;https://www.overleaf.com/;Overleaf is an online collaborative platform used for creating, editing, and sharing scientific documents, particularly LaTeX-based documents, making it popular among researchers and academics for collaborative writing and publishing.;FALSE;;
